timestamp,mq2,mq135
0.045,0.790,0.640
0.142,0.800,0.650
0.260,0.790,0.640
0.349,0.790,0.640
0.471,0.800,0.640
0.588,0.800,0.640
0.706,0.790,0.640
0.802,0.780,0.640
0.920,0.790,0.630
1.040,0.790,0.630
1.143,0.780,0.640
1.233,0.790,0.630
1.348,0.790,0.640
1.480,0.790,0.640
1.550,0.800,0.640
1.647,0.800,0.640
1.740,0.790,0.630
1.841,0.780,0.640
1.940,0.790,0.640
2.037,0.790,0.640
2.135,0.790,0.640
2.232,0.790,0.640
2.351,0.790,0.640
2.472,0.780,0.640
2.572,0.780,0.640
2.689,0.790,0.640
2.807,0.800,0.640
2.908,0.800,0.640
3.049,0.800,0.650
3.137,0.790,0.640
3.227,0.790,0.640
3.324,0.780,0.630
3.447,0.790,0.630
3.540,0.780,0.640
3.699,0.780,0.650
3.749,0.800,0.630
3.841,0.790,0.640
3.937,0.790,0.640
4.016,0.800,0.640
4.133,0.810,0.630
4.225,0.800,0.640
4.375,0.780,0.630
4.471,0.800,0.640
4.561,0.790,0.640
4.682,0.790,0.630
4.782,0.780,0.640
4.910,0.790,0.630
5.027,0.800,0.650
5.123,0.780,0.640
5.242,0.780,0.640
5.321,0.790,0.640
5.441,0.790,0.630
5.532,0.800,0.640
5.636,0.800,0.650
5.738,0.790,0.640
5.835,0.780,0.630
5.912,0.780,0.640
6.032,0.780,0.640
6.128,0.790,0.640
6.221,0.780,0.640
6.339,0.790,0.630
6.462,0.790,0.640
6.554,0.790,0.630
6.667,0.800,0.630
6.782,0.790,0.620
6.904,0.800,0.630
7.018,0.790,0.640
7.137,0.780,0.630
7.234,0.790,0.640
7.336,0.790,0.640
7.434,0.790,0.640
7.532,0.790,0.640
7.622,0.790,0.650
7.712,0.790,0.640
7.831,0.780,0.640
7.927,0.790,0.640
8.059,0.810,0.650
8.126,0.800,0.640
8.237,0.800,0.640
8.326,0.820,0.650
8.463,0.810,0.640
8.563,0.810,0.640
8.680,0.810,0.640
8.826,0.810,0.640
8.892,0.810,0.640
9.015,0.820,0.650
9.132,0.810,0.640
9.234,0.810,0.640
9.331,0.810,0.640
9.446,0.810,0.640
9.551,0.820,0.640
9.622,0.820,0.650
9.718,0.820,0.650
9.815,0.830,0.650
9.923,0.820,0.640
10.018,0.800,0.650
10.134,0.830,0.650
10.230,0.830,0.650
10.326,0.810,0.640
10.443,0.820,0.630
10.562,0.820,0.640
10.658,0.820,0.650
10.778,0.830,0.650
10.899,0.840,0.640
11.025,0.830,0.650
11.117,0.830,0.650
11.210,0.830,0.640
11.329,0.830,0.650
11.422,0.820,0.640
11.515,0.830,0.640
11.612,0.830,0.640
11.709,0.840,0.650
11.816,0.830,0.650
11.911,0.820,0.640
12.009,0.820,0.640
12.111,0.820,0.640
12.202,0.830,0.640
12.326,0.820,0.650
12.447,0.820,0.640
12.552,0.830,0.640
12.647,0.820,0.640
12.763,0.820,0.650
12.883,0.830,0.640
13.004,0.820,0.650
13.122,0.830,0.660
13.221,0.830,0.650
13.341,0.820,0.640
13.409,0.830,0.650
13.502,0.830,0.650
13.599,0.830,0.650
13.689,0.810,0.650
13.809,0.820,0.640
13.904,0.830,0.650
14.007,0.830,0.650
14.092,0.820,0.650
14.213,0.830,0.650
14.335,0.830,0.650
14.429,0.820,0.640
14.570,0.820,0.650
14.664,0.830,0.650
14.761,0.830,0.650
14.879,0.820,0.640
15.000,0.820,0.640
15.119,0.830,0.650
15.213,0.840,0.650
15.296,0.820,0.650
15.420,0.820,0.640
15.490,0.820,0.650
15.611,0.820,0.650
15.707,0.830,0.650
15.806,0.830,0.640
15.927,0.830,0.650
15.995,0.840,0.660
16.094,0.820,0.650
16.211,0.830,0.650
16.326,0.820,0.650
16.416,0.830,0.660
16.533,0.850,0.660
16.636,0.840,0.650
16.757,0.830,0.650
16.889,0.840,0.640
16.989,0.840,0.650
17.109,0.830,0.640
17.186,0.830,0.650
17.305,0.840,0.660
17.403,0.830,0.650
17.496,0.840,0.650
17.622,0.840,0.660
17.691,0.850,0.660
17.786,0.840,0.660
17.884,0.830,0.650
17.982,0.840,0.650
18.075,0.810,0.640
18.196,0.840,0.650
18.296,0.830,0.640
18.422,0.830,0.640
18.538,0.840,0.650
18.629,0.840,0.650
18.764,0.850,0.650
18.854,0.840,0.650
18.977,0.830,0.650
19.101,0.840,0.650
19.199,0.840,0.650
19.294,0.840,0.650
19.387,0.840,0.640
19.476,0.830,0.640
19.596,0.840,0.650
19.711,0.840,0.650
19.773,0.850,0.650
19.894,0.840,0.650
19.987,0.850,0.650
20.084,0.830,0.650
20.183,0.830,0.650
20.304,0.850,0.650
20.427,0.830,0.650
20.562,0.830,0.650
20.628,0.840,0.650
20.749,0.830,0.650
20.869,0.830,0.640
20.976,0.840,0.650
21.094,0.830,0.640
21.191,0.830,0.640
21.304,0.820,0.640
21.374,0.830,0.640
21.493,0.830,0.650
21.612,0.840,0.650
21.716,0.830,0.650
21.782,0.840,0.650
21.873,0.830,0.650
21.969,0.830,0.650
22.087,0.830,0.640
22.183,0.830,0.640
22.298,0.830,0.650
22.401,0.840,0.660
22.520,0.830,0.640
22.619,0.830,0.650
22.758,0.830,0.640
22.858,0.830,0.650
22.974,0.850,0.660
23.092,0.840,0.650
23.192,0.830,0.650
23.288,0.830,0.640
23.387,0.830,0.650
23.483,0.830,0.640
23.594,0.840,0.650
23.668,0.840,0.650
23.787,0.850,0.640
23.863,0.830,0.640
23.967,0.850,0.650
24.075,0.850,0.650
24.191,0.840,0.650
24.299,0.850,0.650
24.393,0.850,0.640
24.509,0.840,0.650
24.637,0.860,0.650
24.729,0.850,0.650
24.873,0.850,0.650
24.961,0.860,0.650
25.081,0.860,0.650
25.177,0.850,0.650
25.292,0.860,0.650
25.367,0.860,0.650
25.484,0.860,0.650
25.577,0.860,0.660
25.702,0.850,0.640
25.772,0.870,0.650
25.863,0.860,0.640
25.952,0.850,0.640
26.106,0.860,0.650
26.183,0.860,0.650
26.295,0.860,0.650
26.411,0.890,0.660
26.502,0.880,0.670
26.619,0.900,0.670
26.741,0.880,0.670
26.833,0.880,0.670
26.955,0.880,0.660
27.077,0.890,0.670
27.169,0.890,0.670
27.260,0.880,0.660
27.393,0.890,0.670
27.463,0.890,0.670
27.567,0.870,0.670
27.659,0.880,0.670
27.753,0.880,0.670
27.876,0.880,0.680
27.956,0.880,0.670
28.048,0.880,0.680
28.169,0.870,0.690
28.300,0.870,0.680
28.394,0.870,0.680
28.513,0.880,0.690
28.689,0.880,0.680
28.729,0.870,0.680
28.849,0.880,0.690
28.938,0.870,0.680
29.081,0.880,0.670
29.178,0.870,0.680
29.273,0.870,0.680
29.368,0.870,0.680
29.467,0.890,0.690
29.563,0.890,0.680
29.661,0.890,0.670
29.766,0.890,0.680
29.859,0.910,0.680
29.976,0.900,0.670
30.042,0.910,0.690
30.166,0.910,0.670
30.291,0.920,0.670
30.388,0.910,0.670
30.488,0.920,0.670
30.598,0.910,0.680
30.715,0.930,0.670
30.838,0.930,0.680
30.957,0.930,0.670
31.076,0.930,0.670
31.171,0.940,0.680
31.279,0.950,0.680
31.347,0.930,0.680
31.466,0.940,0.680
31.563,0.930,0.680
31.661,0.940,0.680
31.753,0.940,0.690
31.861,0.940,0.700
31.938,0.950,0.700
32.059,0.940,0.700
32.149,0.940,0.700
32.267,0.940,0.700
32.372,0.940,0.710
32.493,0.940,0.700
32.613,0.930,0.700
32.705,0.940,0.720
32.827,0.940,0.720
32.946,0.930,0.720
33.046,0.930,0.710
33.166,0.920,0.710
33.265,0.920,0.720
33.361,0.920,0.720
33.458,0.930,0.720
33.553,0.920,0.720
33.651,0.920,0.720
33.743,0.920,0.720
33.862,0.910,0.720
33.956,0.930,0.710
34.051,0.920,0.710
34.154,0.920,0.710
34.274,0.900,0.710
34.372,0.910,0.720
34.497,0.910,0.720
34.586,0.900,0.710
34.701,0.900,0.710
34.822,0.910,0.730
34.946,0.900,0.720
35.076,0.900,0.730
35.146,0.890,0.710
35.251,0.900,0.720
35.344,0.900,0.720
35.436,0.890,0.720
35.554,0.900,0.730
35.656,0.900,0.730
35.748,0.920,0.730
35.843,0.900,0.700
35.942,0.910,0.720
36.044,0.910,0.720
36.136,0.920,0.710
36.257,0.910,0.720
36.377,0.930,0.720
36.495,0.950,0.720
36.587,0.930,0.720
36.709,0.960,0.710
36.829,0.970,0.720
36.926,0.980,0.710
37.046,0.990,0.710
37.154,1.000,0.720
37.251,1.000,0.720
37.346,1.000,0.710
37.439,0.990,0.710
37.542,0.990,0.700
37.634,1.000,0.700
37.724,1.000,0.700
37.826,1.010,0.710
37.944,1.000,0.700
38.039,1.000,0.700
38.131,0.990,0.700
38.258,0.980,0.700
38.377,0.990,0.710
38.473,0.980,0.700
38.598,0.980,0.700
38.688,0.990,0.700
38.806,0.980,0.700
38.915,0.980,0.710
39.037,0.980,0.700
39.128,0.980,0.700
39.246,0.980,0.710
39.339,0.970,0.710
39.447,0.970,0.700
39.535,0.960,0.700
39.633,0.960,0.690
39.733,0.950,0.700
39.829,0.960,0.690
39.925,0.960,0.700
40.029,0.960,0.690
40.148,0.950,0.700
40.239,0.950,0.680
40.377,0.940,0.690
40.481,0.950,0.680
40.572,0.950,0.690
40.693,0.950,0.690
40.810,0.940,0.690
40.927,0.930,0.690
41.048,0.930,0.680
41.124,0.930,0.680
41.246,0.930,0.680
41.323,0.920,0.700
41.443,0.930,0.690
41.524,0.930,0.680
41.617,0.930,0.690
41.735,0.930,0.680
41.827,0.920,0.680
41.932,0.910,0.680
42.025,0.920,0.680
42.142,0.920,0.690
42.254,0.930,0.690
42.361,0.920,0.680
42.480,0.920,0.680
42.577,0.910,0.680
42.700,0.910,0.680
42.805,0.910,0.670
42.922,0.910,0.670
43.041,0.910,0.680
43.134,0.910,0.680
43.228,0.910,0.680
43.386,0.910,0.680
43.438,0.920,0.670
43.534,0.910,0.680
43.633,0.910,0.670
43.727,0.910,0.680
43.822,0.910,0.680
43.917,0.900,0.680
44.013,0.900,0.670
44.124,0.910,0.670
44.246,0.910,0.670
44.354,0.900,0.690
44.457,0.900,0.670
44.576,0.900,0.660
44.692,0.900,0.670
44.786,0.900,0.670
44.905,0.900,0.680
45.033,0.900,0.670
45.126,0.900,0.670
45.218,0.900,0.670
45.332,0.910,0.670
45.423,0.910,0.640
45.558,0.910,0.670
45.627,0.910,0.670
45.722,0.920,0.680
45.821,0.930,0.680
45.953,0.940,0.680
46.021,0.950,0.660
46.111,0.970,0.670
46.228,1.000,0.670
46.348,1.020,0.670
46.468,1.030,0.670
46.582,1.030,0.670
46.709,1.030,0.660
46.779,1.040,0.660
46.893,1.060,0.670
47.024,1.040,0.660
47.119,1.040,0.680
47.232,1.060,0.670
47.304,1.070,0.670
47.424,1.090,0.670
47.517,1.090,0.690
47.616,1.120,0.700
47.707,1.120,0.710
47.817,1.130,0.730
47.915,1.140,0.760
48.010,1.150,0.770
48.113,1.160,0.790
