timestamp,mq2,mq135
0.057,0.920,0.660
0.145,0.920,0.670
0.267,0.930,0.660
0.358,0.920,0.660
0.449,0.910,0.670
0.565,0.910,0.660
0.681,0.910,0.660
0.798,0.910,0.650
0.914,0.910,0.660
1.000,0.920,0.670
1.116,0.930,0.660
1.229,0.920,0.670
1.338,0.910,0.660
1.456,0.910,0.660
1.571,0.910,0.660
1.652,0.910,0.660
1.768,0.920,0.660
1.859,0.920,0.660
1.947,0.920,0.670
2.064,0.910,0.660
2.153,0.920,0.640
2.243,0.910,0.660
2.359,0.910,0.660
2.448,0.920,0.660
2.563,0.910,0.660
2.681,0.910,0.650
2.788,0.920,0.660
2.908,0.920,0.660
3.019,0.920,0.660
3.111,0.920,0.660
3.228,0.920,0.650
3.342,0.920,0.650
3.462,0.920,0.660
3.556,0.910,0.660
3.647,0.910,0.670
3.766,0.920,0.660
3.860,0.910,0.660
3.950,0.920,0.660
4.038,0.920,0.680
4.156,0.910,0.660
4.246,0.940,0.670
4.357,0.920,0.670
4.450,0.910,0.660
4.543,0.910,0.660
4.658,0.920,0.660
4.776,0.910,0.660
4.914,0.910,0.660
4.992,0.920,0.670
5.106,0.930,0.670
5.223,0.920,0.660
5.338,0.920,0.660
5.459,0.920,0.670
5.552,0.920,0.650
5.657,0.920,0.660
5.747,0.920,0.660
5.837,0.920,0.660
5.955,0.920,0.660
6.047,0.930,0.670
6.141,0.940,0.670
6.232,0.910,0.660
6.349,0.920,0.660
6.450,0.930,0.670
6.542,0.930,0.680
6.657,0.920,0.660
6.812,0.910,0.660
6.876,0.920,0.670
6.992,0.910,0.670
7.108,0.920,0.660
7.223,0.900,0.660
7.322,0.910,0.660
7.444,0.920,0.670
7.553,0.920,0.660
7.642,0.920,0.660
7.734,0.910,0.660
7.852,0.910,0.650
7.948,0.910,0.660
8.051,0.920,0.660
8.138,0.920,0.670
8.242,0.920,0.670
8.319,0.930,0.670
8.434,0.920,0.670
8.548,0.910,0.660
8.669,0.920,0.660
8.758,0.920,0.660
8.872,0.910,0.660
9.004,0.910,0.680
9.091,0.920,0.670
