timestamp,mq2,mq135
0.051,0.950,0.760
0.157,0.950,0.770
0.249,0.960,0.770
0.341,0.950,0.760
0.440,0.950,0.750
0.537,0.950,0.760
0.633,0.960,0.760
0.733,0.950,0.760
0.851,0.940,0.760
0.969,0.950,0.760
1.068,0.950,0.770
1.188,0.950,0.780
1.277,0.960,0.760
1.438,0.950,0.760
1.503,0.950,0.750
1.619,0.960,0.760
1.740,0.950,0.750
1.833,0.950,0.760
1.925,0.950,0.760
2.046,0.950,0.760
2.146,0.950,0.760
2.237,0.940,0.760
2.344,0.960,0.770
2.438,0.960,0.760
2.532,0.940,0.750
2.628,0.940,0.760
2.721,0.950,0.760
2.840,0.950,0.770
2.960,0.950,0.760
3.049,0.950,0.760
3.173,0.950,0.760
3.292,0.950,0.760
3.398,0.950,0.760
3.518,0.940,0.750
3.633,0.950,0.760
3.728,0.950,0.760
3.818,0.960,0.760
3.938,0.960,0.770
4.032,0.950,0.750
4.125,0.950,0.760
4.217,0.960,0.760
4.349,0.960,0.760
4.415,0.950,0.750
4.510,0.950,0.760
4.625,0.960,0.760
4.712,0.960,0.770
4.846,0.960,0.770
4.937,0.950,0.750
5.077,0.950,0.760
5.174,0.960,0.760
5.273,0.960,0.750
5.397,0.950,0.750
5.489,0.950,0.770
5.608,0.950,0.760
5.726,0.950,0.750
5.815,0.940,0.770
5.919,0.940,0.750
6.013,0.940,0.760
6.133,0.950,0.760
6.231,0.940,0.760
6.314,0.950,0.760
6.404,0.960,0.760
6.514,0.950,0.760
6.622,0.930,0.750
6.722,0.950,0.750
6.840,0.960,0.780
6.938,0.950,0.760
7.057,0.950,0.770
7.172,0.950,0.760
7.288,0.950,0.750
7.379,0.950,0.760
7.499,0.950,0.750
7.618,0.950,0.760
7.706,0.940,0.760
7.825,0.940,0.760
7.919,0.960,0.770
8.011,0.950,0.760
8.129,0.940,0.760
8.224,0.950,0.760
8.315,0.950,0.760
8.471,0.950,0.760
8.507,0.960,0.760
8.597,0.950,0.760
8.718,0.940,0.750
8.823,0.950,0.760
8.944,0.960,0.760
9.033,0.960,0.760
9.157,0.940,0.760
9.278,0.950,0.760
9.364,0.940,0.760
9.488,0.940,0.750
9.605,0.950,0.760
9.732,0.950,0.760
9.827,0.950,0.760
9.922,0.950,0.770
10.014,0.950,0.770
10.109,0.950,0.780
10.202,0.930,0.760
10.314,0.950,0.760
10.409,0.950,0.750
10.500,0.950,0.750
10.625,0.930,0.760
10.692,0.950,0.760
10.809,0.940,0.760
10.929,0.950,0.760
