timestamp,mq2,mq135
0.067,0.970,0.730
0.156,0.970,0.720
0.287,0.970,0.720
0.388,0.970,0.730
0.503,0.980,0.730
0.622,0.980,0.720
0.713,0.970,0.730
0.825,0.970,0.720
0.945,0.970,0.710
1.048,0.970,0.720
1.141,0.980,0.730
1.258,0.980,0.730
1.393,0.970,0.730
1.447,0.960,0.720
1.538,0.970,0.720
1.627,0.960,0.730
1.746,0.960,0.720
1.843,0.980,0.730
1.935,0.970,0.730
2.049,0.960,0.720
2.173,0.970,0.720
2.262,0.960,0.730
2.379,0.980,0.720
2.510,0.970,0.720
2.612,0.970,0.720
2.728,0.970,0.720
2.846,0.960,0.720
2.939,0.950,0.720
3.028,0.960,0.730
3.148,0.960,0.720
3.238,0.970,0.730
3.358,0.960,0.720
3.448,0.970,0.730
3.518,0.960,0.720
3.633,0.960,0.720
3.732,0.960,0.720
3.827,0.960,0.720
3.924,0.970,0.720
4.055,0.960,0.720
4.144,0.960,0.720
4.261,0.970,0.730
4.380,0.970,0.720
4.499,0.960,0.740
4.620,0.960,0.720
4.708,0.960,0.730
4.823,0.960,0.730
4.940,0.950,0.720
5.034,0.960,0.730
5.135,0.950,0.720
5.229,0.960,0.730
5.344,0.970,0.720
5.438,0.960,0.740
5.537,0.960,0.720
5.628,0.960,0.730
5.721,0.960,0.730
5.812,0.940,0.730
5.933,0.960,0.730
6.051,0.970,0.740
6.138,0.970,0.730
6.259,0.960,0.750
6.375,0.970,0.740
6.493,0.960,0.740
6.589,0.960,0.740
6.709,0.960,0.740
6.827,0.950,0.730
6.942,0.950,0.730
7.036,0.950,0.730
7.129,0.960,0.740
7.227,0.960,0.740
7.312,0.960,0.730
7.431,0.970,0.740
7.521,0.970,0.740
7.651,0.960,0.730
7.717,0.960,0.730
7.804,0.960,0.730
7.924,0.960,0.720
8.022,0.960,0.730
8.153,0.960,0.730
8.244,0.960,0.730
8.357,0.950,0.730
8.467,0.960,0.730
8.584,0.950,0.720
8.707,0.960,0.730
8.822,0.970,0.740
8.937,0.970,0.740
9.029,0.960,0.730
9.130,0.960,0.720
9.220,0.960,0.730
9.314,0.940,0.730
9.410,0.960,0.720
9.503,0.950,0.730
9.613,0.950,0.730
9.724,0.950,0.710
9.821,0.950,0.730
9.914,0.950,0.720
10.033,0.960,0.730
10.149,0.950,0.720
10.242,0.950,0.730
10.372,0.950,0.720
10.468,0.950,0.730
10.601,0.950,0.730
10.694,0.960,0.720
10.814,0.950,0.730
10.930,0.950,0.720
11.047,0.960,0.730
11.117,0.950,0.720
11.204,0.950,0.730
11.331,0.960,0.730
11.399,0.960,0.730
11.514,0.940,0.720
11.625,0.940,0.710
11.705,0.940,0.720
11.812,0.950,0.730
11.911,0.960,0.720
12.030,0.950,0.730
12.118,0.960,0.730
12.257,0.940,0.730
12.363,0.940,0.720
12.454,0.950,0.730
12.574,0.930,0.720
12.692,0.940,0.720
12.787,0.940,0.720
12.903,0.950,0.740
13.018,0.940,0.720
13.112,0.940,0.720
13.212,0.950,0.730
13.314,0.950,0.720
13.408,0.960,0.730
13.544,0.940,0.720
13.600,0.940,0.720
13.693,0.950,0.720
13.808,0.940,0.730
13.903,0.940,0.730
14.023,0.960,0.730
14.115,0.950,0.720
14.259,0.940,0.740
14.357,0.940,0.730
14.448,0.950,0.730
14.570,0.940,0.710
14.690,0.930,0.720
14.782,0.950,0.730
14.893,0.940,0.730
15.016,0.940,0.730
15.108,0.950,0.730
15.198,0.930,0.720
15.287,0.940,0.720
15.385,0.940,0.720
15.502,0.940,0.720
15.598,0.940,0.730
15.708,0.950,0.730
15.803,0.940,0.730
15.897,0.930,0.720
16.019,0.940,0.720
