timestamp,mq2,mq135
0.041,0.960,0.450
0.152,0.960,0.440
0.307,0.940,0.440
0.369,0.950,0.440
0.522,0.960,0.440
0.586,0.950,0.450
0.702,0.960,0.440
0.819,0.950,0.430
0.935,0.950,0.440
1.052,0.950,0.440
1.135,0.950,0.440
1.252,0.960,0.450
1.336,0.960,0.460
1.448,0.960,0.440
1.545,0.960,0.450
1.637,0.960,0.440
1.749,0.960,0.450
1.845,0.960,0.450
1.936,0.960,0.450
2.031,0.960,0.450
2.159,0.960,0.440
2.246,0.950,0.440
2.380,0.950,0.450
2.492,0.950,0.430
2.609,0.950,0.440
2.717,0.950,0.440
2.825,0.950,0.450
2.933,0.950,0.430
3.029,0.960,0.440
3.149,0.950,0.450
3.246,0.960,0.440
3.349,0.950,0.440
3.417,0.960,0.450
3.526,0.960,0.440
3.638,0.950,0.440
3.765,0.950,0.450
3.834,0.960,0.450
3.917,0.950,0.440
4.029,0.960,0.460
4.125,0.950,0.450
4.237,0.950,0.440
4.351,0.950,0.430
4.466,0.940,0.440
4.596,0.950,0.440
4.705,0.950,0.440
4.800,0.950,0.430
4.929,0.950,0.440
5.014,0.940,0.430
5.142,0.950,0.440
5.238,0.950,0.440
5.335,0.960,0.440
5.430,0.970,0.460
5.532,0.950,0.440
5.653,0.960,0.440
5.724,0.950,0.440
5.824,0.950,0.440
5.920,0.960,0.440
6.038,0.950,0.440
6.114,0.960,0.450
6.228,0.970,0.440
6.345,0.960,0.450
6.465,0.960,0.450
6.566,0.960,0.440
6.678,0.960,0.450
6.790,0.960,0.450
6.918,0.960,0.450
7.004,0.960,0.440
7.132,0.960,0.450
7.231,0.950,0.440
7.307,0.950,0.440
7.401,0.960,0.440
7.527,0.960,0.450
7.617,0.950,0.440
7.744,0.950,0.440
7.814,0.960,0.440
7.920,0.960,0.430
8.016,0.960,0.450
8.134,0.960,0.450
8.246,0.960,0.440
8.325,0.950,0.460
8.440,0.950,0.440
8.562,0.950,0.440
8.688,0.950,0.440
8.781,0.950,0.450
8.884,0.950,0.450
9.012,0.950,0.440
9.109,0.950,0.440
9.217,0.960,0.450
9.313,0.940,0.440
9.416,0.950,0.440
9.505,0.950,0.440
9.600,0.950,0.450
9.717,0.950,0.440
9.812,0.950,0.440
9.908,0.950,0.450
10.004,0.950,0.440
10.120,0.950,0.440
10.214,0.950,0.440
10.351,0.950,0.450
10.443,0.950,0.450
10.562,0.970,0.440
10.685,0.960,0.450
10.770,0.950,0.440
10.894,0.950,0.440
11.003,0.950,0.440
11.103,0.950,0.440
11.202,0.950,0.440
11.286,0.960,0.450
11.403,0.950,0.430
11.503,0.960,0.440
11.587,0.950,0.440
11.703,0.950,0.440
11.795,0.950,0.440
11.889,0.950,0.440
11.981,0.950,0.450
12.092,0.950,0.440
12.203,0.950,0.430
12.320,0.960,0.440
12.431,0.950,0.440
12.558,0.950,0.440
12.674,0.950,0.430
12.766,0.950,0.440
12.885,0.950,0.440
13.011,0.950,0.440
13.107,0.950,0.440
13.206,0.960,0.430
13.302,0.950,0.440
13.404,0.960,0.440
13.500,0.950,0.440
13.595,0.950,0.450
13.715,0.950,0.450
13.786,0.960,0.440
13.898,0.950,0.440
13.984,0.960,0.440
14.113,0.960,0.450
14.207,0.950,0.450
14.319,0.960,0.450
14.417,0.950,0.450
14.556,0.960,0.440
14.644,0.960,0.450
14.761,0.960,0.460
14.870,0.960,0.450
14.996,0.960,0.450
15.082,0.940,0.440
15.193,0.960,0.440
15.272,0.940,0.440
15.393,0.950,0.440
15.494,0.960,0.440
15.600,0.960,0.440
15.673,0.950,0.440
15.791,0.950,0.440
15.868,0.950,0.440
15.967,0.950,0.440
16.088,0.950,0.440
16.193,0.950,0.430
16.320,0.940,0.440
16.416,0.950,0.440
16.528,0.950,0.440
16.655,0.940,0.430
16.766,0.950,0.440
16.861,0.950,0.440
16.975,0.950,0.440
17.069,0.950,0.440
17.183,0.950,0.440
17.279,0.960,0.440
17.376,0.960,0.450
17.476,0.950,0.440
17.584,0.950,0.440
17.677,0.950,0.440
17.779,0.950,0.440
17.859,0.950,0.430
17.957,0.950,0.440
18.081,0.960,0.440
18.201,0.950,0.450
18.313,0.950,0.450
18.392,0.950,0.450
18.520,0.960,0.440
18.647,0.950,0.440
18.741,0.950,0.450
18.863,0.950,0.450
18.980,0.940,0.440
19.069,0.940,0.450
19.153,0.950,0.440
19.252,0.950,0.440
19.364,0.950,0.440
19.458,0.970,0.440
19.571,0.940,0.440
19.667,0.950,0.430
19.772,0.940,0.430
19.874,0.950,0.440
19.992,0.950,0.440
20.056,0.960,0.440
20.184,0.950,0.440
20.304,0.950,0.450
20.397,0.950,0.450
20.508,0.950,0.440
20.620,0.950,0.440
20.731,0.950,0.440
20.835,0.950,0.440
20.964,0.960,0.440
21.069,0.950,0.440
21.151,0.960,0.440
21.263,0.940,0.440
21.356,0.950,0.440
21.496,0.970,0.440
21.552,0.960,0.450
21.660,0.950,0.450
21.752,0.950,0.450
21.869,0.950,0.440
21.940,0.960,0.450
22.052,0.960,0.440
22.204,0.950,0.430
22.276,0.950,0.440
22.413,0.950,0.440
22.497,0.950,0.440
22.623,0.940,0.440
22.719,0.940,0.440
22.830,0.950,0.440
22.967,0.950,0.450
23.067,0.950,0.450
23.162,0.940,0.440
23.258,0.960,0.440
23.353,0.940,0.440
23.463,0.940,0.440
23.558,0.930,0.440
23.643,0.960,0.440
23.752,0.950,0.450
23.846,0.950,0.440
23.937,0.960,0.450
24.066,0.940,0.440
24.177,0.940,0.440
24.276,0.960,0.450
24.407,0.950,0.450
24.496,0.960,0.440
24.608,0.960,0.450
24.735,0.950,0.440
24.845,0.950,0.440
24.956,0.950,0.440
25.054,0.940,0.440
25.132,0.950,0.440
25.259,0.950,0.450
25.350,0.950,0.440
25.433,0.950,0.440
25.529,0.950,0.440
25.649,0.950,0.450
25.745,0.950,0.450
25.841,0.940,0.440
25.937,0.940,0.450
26.057,0.950,0.450
26.174,0.950,0.440
26.261,0.950,0.450
26.392,0.940,0.450
26.509,0.930,0.440
26.610,0.950,0.450
26.716,0.950,0.450
26.812,0.950,0.440
26.930,0.960,0.450
27.051,0.950,0.430
27.151,0.960,0.440
27.240,0.940,0.430
27.323,0.950,0.450
27.449,0.940,0.440
27.544,0.940,0.450
27.636,0.930,0.430
27.718,0.950,0.430
27.840,0.950,0.430
27.936,0.940,0.440
28.055,0.940,0.440
28.143,0.940,0.430
28.262,0.940,0.440
28.387,0.940,0.430
28.502,0.930,0.440
28.589,0.950,0.410
28.696,0.940,0.440
28.815,0.940,0.430
28.941,0.950,0.440
29.036,0.950,0.450
29.122,0.940,0.430
29.226,0.940,0.440
29.336,0.950,0.440
29.430,0.940,0.430
29.526,0.950,0.440
29.630,0.940,0.430
29.716,0.940,0.440
29.828,0.940,0.440
29.915,0.950,0.450
30.042,0.940,0.440
30.160,0.950,0.440
30.253,0.950,0.440
30.361,0.940,0.430
30.479,0.940,0.440
30.600,0.940,0.450
30.685,0.950,0.420
30.810,0.950,0.440
30.933,0.950,0.440
31.012,0.950,0.440
31.106,0.950,0.440
31.233,0.950,0.450
31.315,0.940,0.440
31.410,0.940,0.440
31.525,0.950,0.440
31.616,0.950,0.440
31.702,0.950,0.450
31.811,0.940,0.440
31.902,0.950,0.440
32.007,0.950,0.440
32.135,0.940,0.450
32.253,0.950,0.430
32.357,0.940,0.440
32.473,0.940,0.440
32.590,0.940,0.430
32.705,0.940,0.450
32.813,0.950,0.450
32.929,0.940,0.440
33.031,0.950,0.450
33.116,0.940,0.430
33.211,0.950,0.440
33.307,0.940,0.440
33.406,0.950,0.450
33.498,0.940,0.440
33.607,0.940,0.440
33.707,0.950,0.440
33.795,0.950,0.440
33.908,0.950,0.450
34.008,0.950,0.440
34.116,0.950,0.440
34.243,0.950,0.440
34.339,0.950,0.440
34.461,0.940,0.440
34.577,0.950,0.450
34.703,0.940,0.440
34.778,0.940,0.440
34.921,0.950,0.430
35.025,0.950,0.430
