mq2_now,mq135_now,mq2_delta,mq135_delta,mq2_mean_window,mq135_mean_window,mq2_max_window,mq135_max_window,label
0.78,0.64,-0.010000000000000009,0.0,0.7901666666666667,0.6386666666666667,0.81,0.65,SAFE
0.81,0.64,0.020000000000000018,0.0,0.7943333333333336,0.6385000000000001,0.82,0.65,SAFE
0.83,0.64,0.039999999999999925,0.010000000000000009,0.8119999999999999,0.6416666666666668,0.84,0.65,SAFE
0.83,0.65,0.010000000000000009,0.010000000000000009,0.8248333333333334,0.646,0.84,0.66,SAFE
0.84,0.65,0.020000000000000018,0.010000000000000009,0.8300000000000001,0.6489999999999999,0.85,0.66,SAFE
0.83,0.65,0.0,0.010000000000000009,0.8351666666666666,0.6489999999999998,0.85,0.66,SAFE
0.85,0.65,0.020000000000000018,0.0,0.8381666666666666,0.6476666666666666,0.86,0.66,SAFE
0.87,0.68,0.040000000000000036,0.040000000000000036,0.8573333333333333,0.6551666666666667,0.9,0.69,SAFE
0.94,0.68,0.07999999999999996,0.030000000000000027,0.8879999999999999,0.6703333333333333,0.95,0.69,SAFE
0.9,0.71,0.030000000000000027,0.029999999999999916,0.914833333333333,0.6935,0.95,0.72,SAFE
1.0,0.7,0.06999999999999995,0.019999999999999907,0.9328333333333333,0.7126666666666667,1.0,0.73,SAFE
0.93,0.69,0.030000000000000027,-0.020000000000000018,0.9536666666666668,0.7069999999999997,1.01,0.73,SAFE
0.9,0.67,-0.10999999999999999,-0.039999999999999925,0.9429999999999998,0.689,1.01,0.71,SAFE
1.06,0.67,0.13,-0.010000000000000009,0.9355000000000001,0.675,1.06,0.7,SAFE
1.19,0.99,0.2799999999999999,0.31999999999999995,1.0578333333333334,0.8065000000000001,1.2,1.17,SAFE
1.09,0.87,0.020000000000000018,0.19999999999999996,1.1555,0.9329999999999999,1.2,1.17,SAFE
0.99,0.77,-0.20999999999999996,-0.22999999999999998,1.0915,0.8765000000000002,1.2,1.0,SAFE
0.95,0.79,-0.14000000000000012,-0.07999999999999996,0.9998333333333335,0.792,1.09,0.88,SAFE
0.91,0.82,-0.07999999999999996,0.04999999999999993,0.9478333333333331,0.7903333333333332,0.99,0.85,SAFE
1.13,0.89,0.029999999999999805,-0.19000000000000006,1.1603333333333332,0.9891666666666665,1.25,1.09,SAFE
1.21,0.98,-0.040000000000000036,-0.13000000000000012,1.1741666666666666,1.0218333333333331,1.27,1.11,SAFE
1.16,0.97,0.039999999999999813,-0.08000000000000007,1.1705000000000003,0.9851666666666666,1.24,1.05,SAFE
1.13,1.06,-0.08000000000000007,-0.10999999999999988,1.1783333333333332,1.1233333333333333,1.21,1.17,SAFE
1.06,1.1,-0.11999999999999988,0.0,1.1275,1.0963333333333334,1.19,1.13,SAFE
1.03,1.05,-0.09000000000000008,-0.010000000000000009,1.0703333333333334,1.0786666666666669,1.13,1.12,SAFE
1.09,1.04,0.030000000000000027,-0.07000000000000006,1.0481666666666667,1.05,1.09,1.11,SAFE
1.18,1.01,0.1499999999999999,-0.030000000000000027,1.0876666666666668,1.0321666666666667,1.18,1.07,SAFE
1.12,1.16,0.020000000000000018,0.11999999999999988,1.1413333333333333,1.0303333333333333,1.18,1.16,SAFE
1.1,0.94,0.07000000000000006,-0.08000000000000007,1.0458333333333334,1.0243333333333333,1.1,1.12,SAFE
